N° DE EXP. ,NOMBRE DEL PREMIO,OTORGANTE,ÁMBITO GEOGRÁFICO,PAÍS
PE 00069,OSCAR,ACADEMIA DE ARTES Y CIENCIAS CINEMATOGRÁFICAS (ACADEMY OF MOTION PICTURE ARTS AND SCIENCES),EUA / INTERNACIONAL,EUA
PE 00069/A,OSCAR. PARTICIPACIONES MEXICANAS ,ACADEMIA DE ARTES Y CIENCIAS CINEMATOGRÁFICAS (ACADEMY OF MOTION PICTURE ARTS AND SCIENCES),EUA / INTERNACIONAL,EUA
PE 00070,OSCAR (HISTORIA),ACADEMIA DE ARTES Y CIENCIAS CINEMATOGRÁFICAS (ACADEMY OF MOTION PICTURE ARTS AND SCIENCES),EUA / INTERNACIONAL,EUA
PE 00071,PREMIOS VARIOS,,,
PE 00072,Disponible,,,
PE 00073,LAFCA,ASOCIACIÓN DE CRÍTICOS DE CINE DE LOS ÁNGELES (LOS ANGELES FILM CRITICS ASSOCIATION),EUA / INTERNACIONAL,EUA
PE 00074,ESTRELLAS EN EL PASEO DE LA FAMA DE HOLLYWOOD,COMITÉ DEL PASEO DE LA FAMA DE LA CÁMARA DE COMERCIO DE HOLLYWOOD,HOLLYWOOD,EUA
PE 00075,PREMIO IMAGEN,,LOS ÁNGELES,EUA
PE 00076,TEEN CHOICE AWARDS,FOX (cadena de televisión estadounidense),LOS ÁNGELES,EUA
PE 00077,PREMIOS PLATINO,FEDERACIÓN IBEROAMERICANA DE PRODUCTORES CINEMATOGRÁFICOS Y AUDIOVISUALES,IBEROAMÉRICA,
PE 00078,EDDIE AWARD,ASOCIACIÓN DE EDITORES DE CINE DE ESTADOS UNIDOS,LOS ÁNGELES,EUA
PE 00079,ADG AWARD,SINDICATO DE DIRECTORES DE ARTE DE ESTADOS UNIDOS,LOS ÁNGELES,EUA
PE 00080,CINE EN CONSTRUCCION,VARIOS,LATINOAMÉRICA,VARIOS
PE 00081,PREMIO FÉNIX,CINEMA 23,LATINOAMÉRICA,FRANCIA
PE 00082,PREMIO HUADING,VARIOS,CHINA,EUA
PE 00083,HOLLYWOOD FILM AWARD, HFA GRUPO DE JURADOS,LOS ÁNGELES,EUA
PE 00084,CRITIC'S CHOICE AWARD,BROADCAST FILM CRITICS ASSOCIATION,INTERNACIONAL,EUA / CANADÁ
PE 00085,PREMIO COLIBRÍ,CORPORACIÓN DE PRODUCTORES Y PROMOTORES AUDIVISUALES DEL ECUADOR,ECUADOR,ECUADOR
PE 00086,PREMIOS GOTHAM,INDEPENDENT FILM PROJECT (IFP),EUA,EUA
PE 00087,PREMIOS GAUDÍ,ACADEMIA DEL CINE CATALÁN,ESPAÑA,ESPAÑA
PE 00088,PREMIOS FEROZ,ASOCIACIÓN DE INFORMADORES CINEMATOGRAFICOS DE ESPAÑA,ESPAÑA,ESPAÑA
PE 00089,PREMIOS QUIRINO,COMISIÓN DE FILMACIONES DE TENERIFE ,LATINOAMÉRICA,LATINOAMÉRICA
